player,player_handle,season_from,season_to,team_from,team_from_name,team_to,team_to_name,has_transaction,player_match_score,txn_player_matched,txn_date,txn_type,txn_team_raw,txn_team_abbrev,team_abbrev_match,txn_raw,near_miss_player,near_miss_score,near_miss_date,near_miss_raw
Connor Morgan,bigvoldaddy,6,7,POR,Portland Pioneers,MAL,Malibu Waverunners,Y,1.0,Third Baseman Connor Morgan,2022-01-22,sign,Malibu Waverunners,MAL,Y,:Waverunners: Malibu Waverunners sign Third Baseman **Connor Morgan**,,,,
Cookie Mongster,mongster_03,5,6,BBG,Baldur's Gate Beholders,SUN,Sunnydale Slayers,Y,1.0,Cookie Mongster,2021-06-16,sign,slayercrown,SUN,Y,:slayercrown: sign **Cookie Mongster** (P),,,,
Cookie Mongster,mongster_03,6,7,SUN,Sunnydale Slayers,KYM,Kentucky Mashers,Y,1.0,1B/UTIL Cookie Mongster,2022-05-17,sign,Kentucky Mashers,KYM,Y,:Mashers: Kentucky Mashers sign 1B/UTIL **Cookie Mongster**,,,,
Cookie Mongster,mongster_03,8,9,CAR,Carolina Reapers,ACP,Acadia Peregrines,Y,1.0,1B Cookie Mongster,2023-08-20,sign,ACP,ACP,Y,"We have been lacking here so have 1 big post to catch us up!

*Session 2 moves*
:ACP: sign 1B **Cookie Mongster**
:Valky",,,,
Copenhagen Black,the real cope,6,7,MAL,Malibu Waverunners,BUF,Buffalo Bullfrogs,Y,1.0,Third Baseman Copenhagen Black,2022-01-18,sign,Buffalo Bullfrogs,BUF,Y,:buf: Buffalo Bullfrogs sign Third Baseman **Copenhagen Black**,,,,
Copenhagen Black,the real cope,7,8,BUF,Buffalo Bullfrogs,SMD,Sopher McDophers,Y,1.0,C Copenhagen Black,2022-08-27,sign,Sopher McDophers,SMD,Y,:SopherMcDopherOrangeB: Sopher McDophers sign C **Copenhagen Black**,,,,
Copenhagen Black,the real cope,11,12,SMD,Sopher McDophers,POR,Portland Pioneers,Y,1.0,Copenhagen Black,2025-07-20,draft,Argentina Beef,CAR,N,":ArgentinaBeef: With the 95th overall pick in the WNC Draft, the Argentina Beef select **Copenhagen Black**",,,,
Copernicus Hel,,11,12,ACP,Acadia Peregrines,CAR,Carolina Reapers,Y,1.0,CF Copernicus Hel,2024-04-01,sign,Acadia Peregrines,ACP,N,"## Session 3 Transactions

:GHG: Gas House Gorillas **Dominus Nominus** retires as a player

:KC: Kansas City Kitties re",,,,
Crash Davis,crash davis | rc outbreak gm,2,3,SMD,Sopher McDophers,MAL,Malibu Waverunners,N,0.522,Xerxes Dalin,2020-02-23,draft,Blubs Bay Flappy Bois,,N,With the 14th overall pick in the S4 Draft the Blubs Bay Flappy Bois select **SS Xerxes Dalin**,Xerxes Dalin,0.522,2020-02-23,With the 14th overall pick in the S4 Draft the Blubs Bay Flappy Bois select **SS Xerxes Dalin**
Crash Davis,crash davis | rc outbreak gm,3,5,MAL,Malibu Waverunners,SMD,Sopher McDophers,Y,1.0,Crash Davis,2020-11-19,sign,McDophers,SMD,Y,:McDophers: sign **Crash Davis**,,,,
Crash Davis,crash davis | rc outbreak gm,6,9,SMD,Sopher McDophers,CAR,Carolina Reapers,Y,1.0,RF Crash Davis,2023-09-15,sign,CAR,CAR,Y,:CAR: sign RF** Crash Davis**,,,,
Crash Davis,crash davis | rc outbreak gm,9,10,CAR,Carolina Reapers,RC,Raccoon City Outbreak,Y,1.0,RF Crash Davis,2023-09-15,sign,CAR,CAR,N,:CAR: sign RF** Crash Davis**,,,,
Crimson Chin,,7,9,SMD,Sopher McDophers,MIA,Miami Fuego,Y,1.0,LF Crimson Chin,2023-05-03,sign,miami,MIA,Y,:miami: sign LF **Crimson Chin**,,,,
Dakota Carolina Montana,dcm,4,5,SMD,Sopher McDophers,NO,New Orleans Crawdads,Y,1.0,DCM,2021-04-28,draft,Puerto Rico,ACP,N,":puertorico: With the 163rd pick in the WNC draft, Puerto Rico selects @DCM",,,,
Dakota Carolina Montana,dcm,5,6,NO,New Orleans Crawdads,MAL,Malibu Waverunners,Y,1.0,DCM,2021-04-28,draft,Puerto Rico,ACP,N,":puertorico: With the 163rd pick in the WNC draft, Puerto Rico selects @DCM",,,,
Dakota Carolina Montana,dcm,9,10,OGO,Ogaki Oni,RC,Raccoon City Outbreak,Y,1.0,CF Dakota Carolina Montana,2024-06-25,sign,Raccoon City Outbreak,RC,Y,"## Session 10 Transactions

:OGO: Ogaki Oni receive: KC 1st round pick, KC 2nd round pick, Borg Torbjorgsson
:KC: Kansas",,,,
Dallas Houston,quickflyalley,2,3,LPJ,Lonestar Pumpjacks,MAL,Malibu Waverunners,N,0.424,Assassin Xekutioner,2018-12-02,draft,Gas House Gorillas,,N,"With the fifth pick in the Season 2 Draft, the Gas House Gorillas select @Assassin Xekutioner.",Assassin Xekutioner,0.424,2018-12-02,"With the fifth pick in the Season 2 Draft, the Gas House Gorillas select @Assassin Xekutioner."
Dallas Houston,quickflyalley,4,5,MAL,Malibu Waverunners,NO,New Orleans Crawdads,Y,1.0,Dallas Houston,2020-09-22,sign,crawdads,NO,Y,:crawdads: sign **Dallas Houston**,,,,
Dallas Houston,quickflyalley,6,7,NO,New Orleans Crawdads,KYM,Kentucky Mashers,Y,1.0,Right Fielder Dallas Houston,2022-01-23,sign,Kentucky Mashers,KYM,Y,:Mashers: Kentucky Mashers sign Right Fielder **Dallas Houston**,,,,
Damon Razor,,9,11,SMD,Sopher McDophers,RC,Raccoon City Outbreak,Y,1.0,P Damon Razor,2024-10-01,sign,Raccoon City Outbreak,RC,Y,:RC: Raccoon City Outbreak sign P **Damon Razor**,,,,
Daz Reference,daz reference - beholders dm,2,3,SUN,Sunnydale Slayers,BBG,Baldur's Gate Beholders,N,0.593,Random Defence,2018-12-02,draft,Acadia Peregrines,,N,"With the twenty fifth pick in the Season 2 Draft, the Acadia Peregrines select @Random Defence",Random Defence,0.593,2018-12-02,"With the twenty fifth pick in the Season 2 Draft, the Acadia Peregrines select @Random Defence"
December Beckett,december beckitt,8,9,SUN,Sunnydale Slayers,SMD,Sopher McDophers,Y,1.0,Pitcher December Beckett,2022-01-18,sign,Sunnydale Slayers,SUN,N,:slayers: Sunnydale Slayers sign Pitcher **December Beckett**,,,,
Declan Archer,declan archer,2,3,ACP,Acadia Peregrines,GRZ,Ursa Major Grizzlies,Y,1.0,Declan Archer,2019-07-23,draft,Ursa Major Grizzlies,GRZ,Y,With the 26th pick the Ursa Major Grizzlies select @Declan Archer,,,,
Demetrios Ooga,ooga,2,3,REK,Reykjavik Valkyries,HMH,Humongous Melonheads,Y,1.0,ooga,2018-12-02,draft,Henrik Omegas,SMD,N,"With the first pick in the Season 2 Draft, the Henrik Omegas choose @ooga.",,,,
Demetrios Ooga,ooga,4,5,HMH,Humongous Melonheads,ASS,Aruba Sea Serpents,Y,1.0,ooga,2021-04-28,draft,Vatican City,RLY,N,":vaticancity: With the 11th overall pick in the WNC draft, Vatican City selects @ooga",,,,
Derek Rasmussen,,8,9,POR,Portland Pioneers,MIA,Miami Fuego,Y,1.0,Catcher Derek Rasmussen,2022-01-22,sign,Portland Pioneers,POR,N,:Pioneers: Portland Pioneers sign Catcher **Derek Rasmussen**,,,,
Devin Arianna,,1,2,MAL,Malibu Waverunners,REK,Reykjavik Valkyries,N,0.48,Megatomic,2018-12-02,draft,Portland Pioneers,,N,"With the thirty sixth pick in the Season 2 Draft, the Portland Pioneers select @Megatomic",Megatomic,0.48,2018-12-02,"With the thirty sixth pick in the Season 2 Draft, the Portland Pioneers select @Megatomic"
Didja Naylor,,4,5,BBG,Baldur's Gate Beholders,OO,Oslo Otters,Y,1.0,Didja Naylor,2020-02-23,draft,Baldur's Gate Beholders,BBG,N,With the 25th overall pick in the S4 Draft the Baldur's Gate Beholders select **1B Didja Naylor**,,,,
Diego Medina,diego medina,7,8,NO,New Orleans Crawdads,SMD,Sopher McDophers,Y,1.0,P Diego Medina,2022-08-27,sign,Sopher McDophers,SMD,Y,:McDophers: Sopher McDophers sign P **Diego Medina**,,,,
Diego Medina,diego medina,9,10,SMD,Sopher McDophers,GRZ,Ursa Major Grizzlies,N,0.636,Diego Yard,2024-10-06,draft,Acadia Peregrines,,N,":ACP: With the seventh overall pick in the S11 MLN Draft, the *Acadia Peregrines* select 3B **Diego Yard**",Diego Yard,0.636,2024-10-06,":ACP: With the seventh overall pick in the S11 MLN Draft, the *Acadia Peregrines* select 3B **Diego Yard**"
Diego Medina,diego medina,11,12,GRZ,Ursa Major Grizzlies,CAR,Carolina Reapers,N,0.636,Diego Yard,2024-10-06,draft,Acadia Peregrines,,N,":ACP: With the seventh overall pick in the S11 MLN Draft, the *Acadia Peregrines* select 3B **Diego Yard**",Diego Yard,0.636,2024-10-06,":ACP: With the seventh overall pick in the S11 MLN Draft, the *Acadia Peregrines* select 3B **Diego Yard**"
Dinah Myte,,7,8,POR,Portland Pioneers,BUF,Buffalo Bullfrogs,Y,1.0,Dinah Myte,2022-01-22,draft,Pioneers Portland Pioneers,POR,N,"With the 5th overall pick in the S7 Draft, the :Pioneers: Portland Pioneers select **SS Dinah Myte**",,,,
Dixon Uraz,dixon uraz,2,3,GHG,Gas House Gorillas,HMH,Humongous Melonheads,N,0.462,Chris88,2019-07-23,draft,Portland Pioneers,,N,"With the 19th pick in the season 3 draft, the Portland Pioneers select @Chris88",Chris88,0.462,2019-07-23,"With the 19th pick in the season 3 draft, the Portland Pioneers select @Chris88"
Dixon Uraz,dixon uraz,3,4,HMH,Humongous Melonheads,REK,Reykjavik Valkyries,Y,1.0,Dixon Uraz,2020-09-21,sign,Gorillas,GHG,N,:Gorillas: sign **Dixon Uraz**,,,,
Dixon Uraz,dixon uraz,4,5,REK,Reykjavik Valkyries,GHG,Gas House Gorillas,Y,1.0,Dixon Uraz,2020-09-21,sign,Gorillas,GHG,Y,:Gorillas: sign **Dixon Uraz**,,,,
Dixon Uraz,dixon uraz,5,6,GHG,Gas House Gorillas,ASS,Aruba Sea Serpents,Y,1.0,Dixon Uraz,2020-09-21,sign,Gorillas,GHG,N,:Gorillas: sign **Dixon Uraz**,,,,
Dixon Uraz,dixon uraz,7,8,ASS,Aruba Sea Serpents,HMH,Humongous Melonheads,Y,1.0,2B Dixon Uraz,2022-09-02,sign,Humongous Melonheads,HMH,Y,:melonheads: Humongous Melonheads sign 2B **Dixon Uraz**,,,,
Dmitri Petrovich,gschlim,2,3,GHG,Gas House Gorillas,GRZ,Ursa Major Grizzlies,Y,0.8,GSchlim Dmitri Petrovich,2019-07-23,draft,Ursa Major Grizzlies,GRZ,Y,With the 34th pick the Ursa Major Grizzlies select @GSchlim Dmitri Petrovich,,,,
Dmitri Petrovich,gschlim,3,4,GRZ,Ursa Major Grizzlies,HMH,Humongous Melonheads,Y,1.0,Dmitri Petrovich,2020-09-26,re_sign,Melonhead,HMH,Y,:Melonhead: re-sign **Dmitri Petrovich**,,,,
Doc Wingduck,doc dockgoose,6,7,SUN,Sunnydale Slayers,BBG,Baldur's Gate Beholders,Y,1.0,Pitcher Doc Wingduck,2022-01-18,sign,Baldur's Gate Beholders,BBG,Y,:BBG: Baldur's Gate Beholders sign Pitcher **Doc Wingduck**,,,,
Doctor Ew,,7,8,POR,Portland Pioneers,OGO,Ogaki Oni,Y,1.0,C Doctor Ew,2022-08-27,sign,Malibu Waverunners,MAL,Y,:Waverunners:  Malibu Waverunners sign C **Doctor Ew**,,,,
Dom Emnic,,2,5,HFX,Halifax Helmsmen,MAL,Malibu Waverunners,Y,1.0,Dom Emnic,2020-09-28,sign,Waverunners,MAL,Y,:Waverunners: sign **Dom Emnic**,,,,
Dom Emnic,,6,10,MAL,Malibu Waverunners,HFX,Halifax Helmsmen,Y,1.0,3B/UTIL Dom Emnic,2024-01-22,sign,Halifax Highlanders,HFX,Y,:Highlanders: Halifax Highlanders sign 3B/UTIL **Dom Emnic**,,,,
Donatello Chalupa,,4,5,REK,Reykjavik Valkyries,ASS,Aruba Sea Serpents,Y,1.0,Donatello Chalupa,2020-09-21,sign,Rhinos,CIN,Y,:Rhinos: sign **Donatello Chalupa**,,,,
Donked McToad,donked mctoad,1,2,OAK,Alemeda Originals,HFX,Halifax Helmsmen,Y,1.0,Donked McToad,2018-12-02,draft,Vancouver Vampires,VAN,Y,"With the twenty ninth pick in the Season 2 Draft, the Vancouver Vampires select @Donked McToad",,,,
Donked McToad,donked mctoad,2,3,HFX,Halifax Helmsmen,BFB,Blubs Bay Flappy Bois,Y,1.0,Donked McToad,2018-12-02,draft,Vancouver Vampires,VAN,N,"With the twenty ninth pick in the Season 2 Draft, the Vancouver Vampires select @Donked McToad",,,,
Drew Ekstrum,,2,3,HMH,Humongous Melonheads,CIN,Cincinnati Longhorns,N,0.455,Duke Nukem,2018-11-28,sign,The Originals,,N,The Originals sign Duke Nukem,Duke Nukem,0.455,2018-11-28,The Originals sign Duke Nukem
Drew Ekstrum,,4,7,CIN,Cincinnati Longhorns,ACP,Acadia Peregrines,Y,1.0,CF Drew Ekstrum,2022-05-16,sign,Acadia Peregrines,ACP,Y,"**Transactions effective Session 10**

we'll organize this by team...

:Waverunners: Malibu Waverunners sign 1B/UTIL **R",,,,
Dropov Andpicov,,4,5,GHG,Gas House Gorillas,SMD,Sopher McDophers,N,0.5,Dom Emnic,2020-09-28,sign,Waverunners,,N,:Waverunners: sign **Dom Emnic**,Dom Emnic,0.5,2020-09-28,:Waverunners: sign **Dom Emnic**
Dropov Andpicov,,5,6,SMD,Sopher McDophers,GRZ,Ursa Major Grizzlies,Y,1.0,Dropov Andpicov,2021-09-14,sign,grizzlies,GRZ,Y,"**Session 6 Transactions (Effective Session 7)**

:Buff: Sign **Sarah Buntingsworth** (P) & **Sandy Collazo** (P) Retire",,,,
Duwan Anonly,wazzup44,4,5,BUF,Buffalo Bullfrogs,KYM,Kentucky Mashers,Y,1.0,Duwan Anonly,2020-09-21,sign,Mashers,KYM,Y,:Mashers: sign **Duwan Anonly**,,,,
Dylan Green,,2,3,LPJ,Lonestar Pumpjacks,BFB,Blubs Bay Flappy Bois,N,0.583,Declan Archer,2019-07-23,draft,Ursa Major Grizzlies,,N,With the 26th pick the Ursa Major Grizzlies select @Declan Archer,Declan Archer,0.583,2019-07-23,With the 26th pick the Ursa Major Grizzlies select @Declan Archer
Dylan Green,,3,4,BFB,Blubs Bay Flappy Bois,HFX,Halifax Helmsmen,Y,1.0,Dylan Green,2020-09-21,sign,Helmsmen,HFX,Y,":BBG:  sign **Release T. Kraken**
:Rhinos:  sign **Harry Peritestes**
:McDophers:  sign **Thomas Nova**
:Helmsmen:  sign",,,,
Dylan Green,,5,6,HFX,Halifax Helmsmen,BFB,Blubs Bay Flappy Bois,Y,1.0,Dylan Green,2020-09-21,sign,Helmsmen,HFX,N,":BBG:  sign **Release T. Kraken**
:Rhinos:  sign **Harry Peritestes**
:McDophers:  sign **Thomas Nova**
:Helmsmen:  sign",,,,
Dylan Green,,7,8,BFB,Blubs Bay Flappy Bois,POR,Portland Pioneers,Y,1.0,2B Dylan Green,2022-08-28,sign,Portland Pioneers,POR,Y,:Pioneers: Portland Pioneers sign 2B **Dylan Green**,,,,
Ecliptic Astrum,ecliptic astrum - c,1,2,GHG,Gas House Gorillas,SUN,Sunnydale Slayers,N,0.444,Deleted User,2018-12-02,draft,Sleepy Hollow Horsemen,,N,"With the twenty eighth pick in the Season 2 Draft, the Sleepy Hollow Horsemen select @Deleted User",Deleted User,0.444,2018-12-02,"With the twenty eighth pick in the Season 2 Draft, the Sleepy Hollow Horsemen select @Deleted User"
Ecliptic Astrum,ecliptic astrum - c,2,3,SUN,Sunnydale Slayers,BBG,Baldur's Gate Beholders,N,0.5,Eli Sasak,2020-03-27,release,beholders,,N,:beholders: release Eli Sasak,Eli Sasak,0.5,2020-03-27,:beholders: release Eli Sasak
Ed Turner,,2,3,BFB,Blubs Bay Flappy Bois,SHH,Sleepy Hollow Horsemen,N,0.571,Deleted User,2018-12-02,draft,Sleepy Hollow Horsemen,,N,"With the twenty eighth pick in the Season 2 Draft, the Sleepy Hollow Horsemen select @Deleted User",Deleted User,0.571,2018-12-02,"With the twenty eighth pick in the Season 2 Draft, the Sleepy Hollow Horsemen select @Deleted User"
El Duké Nukem,,2,3,MAL,Malibu Waverunners,NO,New Orleans Crawdads,Y,0.818,Duke Nukem,2018-11-28,sign,The Originals,OAK,N,The Originals sign Duke Nukem,,,,
Emerson Austin Jr.,,6,7,MAL,Malibu Waverunners,POR,Portland Pioneers,Y,1.0,P Emerson Austin Jr.,2022-07-10,sign,Portland Pioneers,POR,Y,:pioneers: Portland Pioneers sign P **Emerson Austin Jr.**,,,,
Emerson Austin Jr.,,8,9,POR,Portland Pioneers,HFX,Halifax Helmsmen,Y,1.0,SS Emerson Austin Jr,2023-05-03,sign,Halifax Highlanders,HFX,Y,:Highlanders: Halifax Highlanders sign SS **Emerson Austin Jr**,,,,
Emerson Austin Jr.,,9,10,HFX,Halifax Helmsmen,RC,Raccoon City Outbreak,Y,0.903,SS/UTIL Emerson Austin,2024-01-24,sign,Raccoon City Outbreak,RC,Y,:RC: Raccoon City Outbreak sign SS/UTIL **Emerson Austin**,,,,
Fatts Richard,,11,12,KC,Kansas City Kitties,HFX,Halifax Helmsmen,Y,1.0,CF Fatts Richard,2025-08-02,sign,Halifax Highlanders,HFX,Y,":SMD:Sopher McDophers sign CF **Rusty Nails**
:SMD:Sopher McDophers sign RF **Master Cashier**
:SMD:Sopher McDophers sig",,,,
Ferda Bois,,4,5,SUN,Sunnydale Slayers,BFB,Blubs Bay Flappy Bois,N,0.571,Brianna Rose,2021-04-28,draft,United Kingdom,,N,":brexhits: With the 27th overall pick in the WNC draft, the United Kingdom selects @Brianna Rose",Brianna Rose,0.571,2021-04-28,":brexhits: With the 27th overall pick in the WNC draft, the United Kingdom selects @Brianna Rose"
Ferda Bois,,5,6,BFB,Blubs Bay Flappy Bois,ASS,Aruba Sea Serpents,N,0.571,Brianna Rose,2021-04-28,draft,United Kingdom,,N,":brexhits: With the 27th overall pick in the WNC draft, the United Kingdom selects @Brianna Rose",Brianna Rose,0.571,2021-04-28,":brexhits: With the 27th overall pick in the WNC draft, the United Kingdom selects @Brianna Rose"
Ferda Bois,,6,7,ASS,Aruba Sea Serpents,BUF,Buffalo Bullfrogs,N,0.571,Brianna Rose,2021-04-28,draft,United Kingdom,,N,":brexhits: With the 27th overall pick in the WNC draft, the United Kingdom selects @Brianna Rose",Brianna Rose,0.571,2021-04-28,":brexhits: With the 27th overall pick in the WNC draft, the United Kingdom selects @Brianna Rose"
Ferda Bois,,8,9,BUF,Buffalo Bullfrogs,MIA,Miami Fuego,Y,1.0,CF Ferda Bois,2023-05-03,sign,miami,MIA,Y,:miami: sign CF **Ferda Bois**,,,,
Ferda Bois,,9,11,MIA,Miami Fuego,GHG,Gas House Gorillas,Y,1.0,P Ferda Bois,2024-10-07,sign,Miami Fuego,MIA,N,:MIA: Miami Fuego sign P **Ferda Bois**,,,,
Finkle Sparkles,,1,2,CIN,Cincinnati Longhorns,GHG,Gas House Gorillas,N,0.5,librarylass,2018-12-02,draft,Henrik Omegas,,N,"With the twenty seventh pick in the Season 2 Draft, the Henrik Omegas select @librarylass",librarylass,0.5,2018-12-02,"With the twenty seventh pick in the Season 2 Draft, the Henrik Omegas select @librarylass"
Finn Hudson,,5,6,OO,Oslo Otters,GHG,Gas House Gorillas,N,0.5,Thor Odinnson,2020-09-21,sign,Mashers,,N,:Mashers: sign **Thor Odinnson**,Thor Odinnson,0.5,2020-09-21,:Mashers: sign **Thor Odinnson**
Foxx Dashington,foxx dashington,1,2,ACP,Acadia Peregrines,LPJ,Lonestar Pumpjacks,N,0.435,Bob Winn,2019-07-23,draft,Portland Pioneers,,N,"With the sixth pick in the Season 3 Draft, the Portland Pioneers select @Bob Winn",Bob Winn,0.435,2019-07-23,"With the sixth pick in the Season 3 Draft, the Portland Pioneers select @Bob Winn"
Foxx Dashington,foxx dashington,2,3,LPJ,Lonestar Pumpjacks,SUN,Sunnydale Slayers,N,0.519,Xerxes Dalin,2020-02-23,draft,Blubs Bay Flappy Bois,,N,With the 14th overall pick in the S4 Draft the Blubs Bay Flappy Bois select **SS Xerxes Dalin**,Xerxes Dalin,0.519,2020-02-23,With the 14th overall pick in the S4 Draft the Blubs Bay Flappy Bois select **SS Xerxes Dalin**
Foxx Dashington,foxx dashington,6,7,SUN,Sunnydale Slayers,BUF,Buffalo Bullfrogs,Y,1.0,Left Fielder Foxx Dashington,2022-01-18,sign,Buffalo Bullfrogs,BUF,Y,:buf: Buffalo Bullfrogs sign Left Fielder **Foxx Dashington**,,,,
Francis Herman Swagger,,7,9,HFX,Halifax Helmsmen,GRZ,Ursa Major Grizzlies,Y,1.0,LF Francis Herman Swagger,2023-05-06,sign,Grizzlies,GRZ,Y,:Grizzlies: sign LF **Francis Herman Swagger**,,,,
Fuzzy Dunlop,,3,5,BFB,Blubs Bay Flappy Bois,OO,Oslo Otters,Y,1.0,Fuzzy Dunlop,2020-09-26,sign,otters,OO,Y,:otters: sign **Fuzzy Dunlop**,,,,
Gargle Nutz,,4,5,SUN,Sunnydale Slayers,BBG,Baldur's Gate Beholders,Y,0.909,Gargle Nuts,2020-02-23,draft,Sunnydale Slayers,SUN,N,With the 21st overall pick in the S4 Draft the Sunnydale Slayers select **2B Gargle Nuts**,,,,
Garitek,garitek,2,3,SMD,Sopher McDophers,BBG,Baldur's Gate Beholders,N,0.462,barnes,2019-07-23,draft,Malibu Waverunners,,N,With the 28th pick the Malibu Waverunners select @barnes,barnes,0.462,2019-07-23,With the 28th pick the Malibu Waverunners select @barnes
Garitek,garitek,3,4,BBG,Baldur's Gate Beholders,GRZ,Ursa Major Grizzlies,N,0.5,Loghan O'Brien,2020-09-21,sign,Buff,,N,":Buff: sign **Loghan O'Brien**
:Gorillas: sign **Rusty Nails**
:Waverunners: sign **Clive Babineaux**",Loghan O'Brien,0.5,2020-09-21,":Buff: sign **Loghan O'Brien**
:Gorillas: sign **Rusty Nails**
:Waverunners: sign **Clive Babineaux**"
Garitek,garitek,7,8,GRZ,Ursa Major Grizzlies,GHG,Gas House Gorillas,Y,1.0,Garitek,2023-04-19,draft,Japan Weeb Kitties,KC,N,"🇯🇵 With the 14th overall pick in the WNC draft, the Japan Weeb Kitties select **P Garitek**",,,,
Garitek,garitek,9,10,GHG,Gas House Gorillas,MIA,Miami Fuego,Y,1.0,Garitek,2023-04-19,draft,Japan Weeb Kitties,KC,N,"🇯🇵 With the 14th overall pick in the WNC draft, the Japan Weeb Kitties select **P Garitek**",,,,
Garitek,garitek,11,12,MIA,Miami Fuego,GHG,Gas House Gorillas,Y,1.0,Garitek,2025-07-20,draft,Cyprus Hills,GHG,Y,":CyprusHills: With the 5th overall pick of the WNC Draft, the Cyprus Hills selects **Garitek!**",,,,
Geno Scaramucci,,4,5,GHG,Gas House Gorillas,GRZ,Ursa Major Grizzlies,Y,0.75,"Geno ""The Mooch"" Scaramucci",2020-09-21,sign,grizzlies,GRZ,Y,":grizzlies: sign **Geno ""The Mooch"" Scaramucci**",,,,
Geno Scaramucci,,6,7,GRZ,Ursa Major Grizzlies,GHG,Gas House Gorillas,Y,1.0,Pitcher Geno Scaramucci,2022-01-18,sign,Sunnydale Slayers,SUN,N,:slayers: Sunnydale Slayers sign Pitcher **Geno Scaramucci**,,,,
Geno Scaramucci,,8,11,GHG,Gas House Gorillas,MIA,Miami Fuego,Y,1.0,LF Geno Scaramucci,2024-10-01,sign,Miami Fuego,MIA,Y,:MIA:Miami Fuego sign LF (?) **Geno Scaramucci**,,,,
Geno Scaramucci,,11,12,MIA,Miami Fuego,GHG,Gas House Gorillas,Y,1.0,LF Geno Scaramucci,2024-10-01,sign,Miami Fuego,MIA,N,:MIA:Miami Fuego sign LF (?) **Geno Scaramucci**,,,,
George Ewell,ewell,1,2,HMH,Humongous Melonheads,ACP,Acadia Peregrines,N,0.545,KigerWulf,2018-12-02,draft,Malibu Waverunners,,N,"With the twenty fourth pick in the Season 2 Draft, the Malibu Waverunners select @KigerWulf",KigerWulf,0.545,2018-12-02,"With the twenty fourth pick in the Season 2 Draft, the Malibu Waverunners select @KigerWulf"
Goaty McGoatFace,,9,10,KC,Kansas City Kitties,OGO,Ogaki Oni,Y,1.0,2B/C Goaty McGoatFace,2024-01-22,sign,Ogaki Oni,OGO,Y,:Oni: Ogaki Oni sign 2B/C **Goaty McGoatFace**,,,,
Goro Shinoda,,2,4,SUN,Sunnydale Slayers,MAL,Malibu Waverunners,N,0.64,Adonis Sinoda,2020-02-23,draft,Ursa Major Grizzlies,,N,With the 15th overall pick in the S4 Draft the Ursa Major Grizzlies select **1B Adonis Sinoda**,Adonis Sinoda,0.64,2020-02-23,With the 15th overall pick in the S4 Draft the Ursa Major Grizzlies select **1B Adonis Sinoda**
Guidooooo,anything is possibleeeeee,10,11,MIA,Miami Fuego,SMD,Sopher McDophers,Y,1.0,SS/UTIL Guidooooo,2024-10-02,sign,Sopher McDophers,SMD,Y,:SMD: Sopher McDophers sign SS/UTIL **Guidooooo**,,,,
H.D. Dog,,3,4,GHG,Gas House Gorillas,HFX,Halifax Helmsmen,N,0.471,P. McDonough,2020-09-26,draft,Blubs Bay Flappy Bois,,N,"With the 14th overall pick in the S5 Draft, the Blubs Bay Flappy Bois select @P. McDonough",P. McDonough,0.471,2020-09-26,"With the 14th overall pick in the S5 Draft, the Blubs Bay Flappy Bois select @P. McDonough"
Haloick Oasis,,7,8,ASS,Aruba Sea Serpents,BUF,Buffalo Bullfrogs,Y,1.0,LF Haloick Oasis,2022-08-27,sign,Buffalo Bullfrogs,BUF,Y,:buffalo: Buffalo Bullfrogs sign LF **Haloick Oasis**,,,,
Haloick Oasis,,8,9,BUF,Buffalo Bullfrogs,ASS,Aruba Sea Serpents,Y,1.0,LF Haloick Oasis,2022-08-27,sign,Buffalo Bullfrogs,BUF,N,:buffalo: Buffalo Bullfrogs sign LF **Haloick Oasis**,,,,
Haloick Oasis,,9,12,ASS,Aruba Sea Serpents,RC,Raccoon City Outbreak,Y,0.867,LHP Haloick Oasis,2025-08-02,sign,Raccoon City Outbreak,RC,Y,":SMD:Sopher McDophers sign CF **Rusty Nails**
:SMD:Sopher McDophers sign RF **Master Cashier**
:SMD:Sopher McDophers sig",,,,
Hank Murphy,,1,2,GHG,Gas House Gorillas,REK,Reykjavik Valkyries,Y,1.0,Hank Murphy,2018-11-28,sign,The Henrik Omegas,REK,Y,The Henrik Omegas sign Hank Murphy,,,,
Hannibal Bligh,“daddy ass” hannibal bligh,6,7,HFX,Halifax Helmsmen,ASS,Aruba Sea Serpents,Y,1.0,“Daddy Ass” Hannibal Bligh,2021-04-28,draft,Vatican City,RLY,N,":vaticancity: With the 38th overall pick in the WNC draft, Vatican City selects @“Daddy Ass” Hannibal Bligh",,,,
Hans Ali,hans,1,2,LPJ,Lonestar Pumpjacks,SMD,Sopher McDophers,N,0.5,naisawol,2018-12-02,draft,Sleepy Hollow Horsemen,,N,"With the sixteenth pick in the Season 2 Draft, the Sleepy Hollow Horsemen select @naisawol",naisawol,0.5,2018-12-02,"With the sixteenth pick in the Season 2 Draft, the Sleepy Hollow Horsemen select @naisawol"
Hans Ali,hans,2,3,SMD,Sopher McDophers,KYM,Kentucky Mashers,Y,0.889,Hans Ali P,2020-03-27,sign,beholders,BBEG,N,:beholders: sign Hans Ali P,,,,
Haraldo McKenzie,,1,2,SUN,Sunnydale Slayers,POR,Portland Pioneers,N,0.533,Random Defence,2018-12-02,draft,Acadia Peregrines,,N,"With the twenty fifth pick in the Season 2 Draft, the Acadia Peregrines select @Random Defence",Random Defence,0.533,2018-12-02,"With the twenty fifth pick in the Season 2 Draft, the Acadia Peregrines select @Random Defence"
