date,season,session,type,team,player,position,trade_partner,assets_sent,assets_received,notes,raw_message,needs_review
2021-09-14,7,7,retirement,Pioneers,Pioneers Sign Bobbymir Guerrero Jr (P),,,,,,"**Session 7 Transactions (Effective Session 8)**

:Buff: Sign **Finn Pinguson** (C) & **Brusdar Powerade** (C) Retires

:Pioneers: Sign **Bobbymir Guerrero Jr** (P) & **Poop McGee** (P) Retires

:slayers: Receive: **Mattress** (2B)
:otters: Receive: **Juniped Panda** (2B)",
2021-09-15,7,,trade,Buff,,,Waverunners,North McLean (CF) & Buff S6 2nd Round Pick,KC Bats (LF),,":Buff: Receive: **KC Bats** (LF)
:Waverunners: Receive: **North McLean** (CF) & :Buff: **S6 2nd Round Pick**

:Pioneers: Receive: **Cal Lidous** (P)
:slayers: Receive: **Mike Fruitstand** (RF)

:Waverunners: Sign **Dakota Carolina Montana** (CF) & Release **Slow Low** (2B)",
2021-09-15,7,,trade,Waverunners,,,Buff,KC Bats (LF),North McLean (CF) & Buff S6 2nd Round Pick,,":Buff: Receive: **KC Bats** (LF)
:Waverunners: Receive: **North McLean** (CF) & :Buff: **S6 2nd Round Pick**

:Pioneers: Receive: **Cal Lidous** (P)
:slayers: Receive: **Mike Fruitstand** (RF)

:Waverunners: Sign **Dakota Carolina Montana** (CF) & Release **Slow Low** (2B)",
2021-09-15,7,,trade,Pioneers,,,,,Cal Lidous (P),3-way trade - verify assets manually,":Buff: Receive: **KC Bats** (LF)
:Waverunners: Receive: **North McLean** (CF) & :Buff: **S6 2nd Round Pick**

:Pioneers: Receive: **Cal Lidous** (P)
:slayers: Receive: **Mike Fruitstand** (RF)

:Waverunners: Sign **Dakota Carolina Montana** (CF) & Release **Slow Low** (2B)",Y
2021-09-15,7,,trade,slayers,,,,,Mike Fruitstand (RF),3-way trade - verify assets manually,":Buff: Receive: **KC Bats** (LF)
:Waverunners: Receive: **North McLean** (CF) & :Buff: **S6 2nd Round Pick**

:Pioneers: Receive: **Cal Lidous** (P)
:slayers: Receive: **Mike Fruitstand** (RF)

:Waverunners: Sign **Dakota Carolina Montana** (CF) & Release **Slow Low** (2B)",Y
2021-09-15,7,,release,Waverunners Sign Dakota Carolina Montana (CF) &,Slow Low,2B,,,,,":Buff: Receive: **KC Bats** (LF)
:Waverunners: Receive: **North McLean** (CF) & :Buff: **S6 2nd Round Pick**

:Pioneers: Receive: **Cal Lidous** (P)
:slayers: Receive: **Mike Fruitstand** (RF)

:Waverunners: Sign **Dakota Carolina Montana** (CF) & Release **Slow Low** (2B)",
2021-09-23,7,,trade,Helmsmen,,,Buff,Nicholas Fouss (RF) & Helmsmen S6 1st Round Pick (Top 5 protected),Sticky Mickey Mantle (3B),,":Helmsmen: Receive: **Sticky Mickey Mantle** (3B)

:Buff: Receive: **Nicholas Fouss** (RF) & :Helmsmen:  **S6 1st Round Pick** *(Top 5 protected)*",
2021-09-23,7,,trade,Buff,,,Helmsmen,Sticky Mickey Mantle (3B),Nicholas Fouss (RF) & Helmsmen S6 1st Round Pick (Top 5 protected),,":Helmsmen: Receive: **Sticky Mickey Mantle** (3B)

:Buff: Receive: **Nicholas Fouss** (RF) & :Helmsmen:  **S6 1st Round Pick** *(Top 5 protected)*",
2021-09-23,7,8,trade,Mashers,,,Pioneers,Andrew Nova (LF) & Pioneers S6 2nd Round Pick,Q Kimbrel (CF),,"**Session 8 Transactions (Effective Session 9)**

:Buff: **Animals Garritsen** Retires

:Mashers:  Receive: **Q Kimbrel** (CF)
:Pioneers:  Receive: **Andrew Nova** (LF) &  :Pioneers:  **S6 2nd Round Pick**",
2021-09-23,7,8,trade,Pioneers,,,Mashers,Q Kimbrel (CF),Andrew Nova (LF) & Pioneers S6 2nd Round Pick,,"**Session 8 Transactions (Effective Session 9)**

:Buff: **Animals Garritsen** Retires

:Mashers:  Receive: **Q Kimbrel** (CF)
:Pioneers:  Receive: **Andrew Nova** (LF) &  :Pioneers:  **S6 2nd Round Pick**",
2021-09-23,7,8,retirement,Buff,Animals Garritsen,,,,,,"**Session 8 Transactions (Effective Session 9)**

:Buff: **Animals Garritsen** Retires

:Mashers:  Receive: **Q Kimbrel** (CF)
:Pioneers:  Receive: **Andrew Nova** (LF) &  :Pioneers:  **S6 2nd Round Pick**",
2022-01-18,8,,sign,Buffalo Bullfrogs,Pitcher Petra Sabor,,,,,,:bullfrogs: Buffalo Bullfrogs sign Pitcher **Petra Sabor**,
2022-01-18,8,,sign,Reykjavik Valkyries,Pitcher ﻿Jhangus Roundstone﻿,,,,,,:rek: Reykjavik Valkyries sign Pitcher **﻿Jhangus Roundstone﻿**,
2022-01-18,8,,sign,Malibu Waverunners,Pitcher Clem.N.Tine,1 Minute Early..,,,,,:Waverunners:  Malibu Waverunners sign Pitcher **Clem.N.Tine** (1 Minute Early..),
2022-01-18,8,,sign,Portland Pioneers,Left Fielder Judge Reinhold,,,,,,:Pioneers:  Portland Pioneers sign Left Fielder **Judge Reinhold**,
2022-01-18,8,,sign,Sunnydale Slayers,Shortstop Kiger Wulf,,,,,,:slayers: Sunnydale Slayers sign Shortstop **Kiger Wulf**,
2022-01-18,8,,sign,Portland Pioneers,First Baseman Captain Rex,,,,,,:Pioneers: Portland Pioneers sign First Baseman **Captain Rex**,
2022-01-18,8,,sign,Buffalo Bullfrogs,Left Fielder Foxx Dashington,,,,,,:buf: Buffalo Bullfrogs sign Left Fielder **Foxx Dashington**,
2022-01-18,8,,sign,Gas House Gorillas,Pitcher Lee Allen Ripley,,,,,,:Gorillas: Gas House Gorillas sign Pitcher **Lee Allen Ripley**,
2022-01-18,8,,sign,Buffalo Bullfrogs,Shortstop Sandy Collazo,,,,,,:buf: Buffalo Bullfrogs sign Shortstop **Sandy Collazo**,
2022-01-18,8,,sign,Malibu Waverunners,Pitcher ﻿Cal Lidous,,,,,,:Waverunners: Malibu Waverunners sign Pitcher ﻿**Cal Lidous**,
2022-01-18,8,,sign,Buffalo Bullfrogs,Third Baseman Copenhagen Black,,,,,,:buf: Buffalo Bullfrogs sign Third Baseman **Copenhagen Black**,
2022-01-18,8,,sign,Acadia Peregrines,Pitcher Babatunde Oladotun,,,,,,:Peregrines: Acadia Peregrines sign Pitcher **Babatunde Oladotun**,
2022-01-18,8,,re_sign,New Orleans Crawdads,Pitcher Diego Medina,,,,,,:crawdads: New Orleans Crawdads re-sign Pitcher **Diego Medina**,
2022-01-18,8,,re_sign,Halifax Baseball Team,Third Baseman Mike Litoris,,,,,,:Helmsmen: Halifax Baseball Team re-sign Third Baseman **Mike Litoris**,
2022-01-18,8,,sign,Malibu Waverunners,Right Fielder Nicholas Fouss,,,,,,:Waverunners: Malibu Waverunners sign Right Fielder **Nicholas Fouss**,
2022-01-18,8,,sign,Sunnydale Slayers,Pitcher December Beckett,,,,,,:slayers: Sunnydale Slayers sign Pitcher **December Beckett**,
2022-01-18,8,,sign,Baldur's Gate Beholders,Pitcher Doc Wingduck,,,,,,:BBG: Baldur's Gate Beholders sign Pitcher **Doc Wingduck**,
2022-01-18,8,,sign,Malibu Waverunners,Pitcher Six Finger McMillan,,,,,,:Waverunners: Malibu Waverunners sign Pitcher **Six Finger McMillan**,
2022-01-18,8,,sign,Sunnydale Slayers,Second Baseman Holden Beers,,,,,,:slayers: Sunnydale Slayers sign Second Baseman **Holden Beers**,
2022-01-18,8,,sign,Halifax Baseball Team,First Baseman Phil Dunphy,,,,,,:Helmsmen: Halifax Baseball Team sign First Baseman **Phil Dunphy**,
2022-01-18,8,,sign,Baldur's Gate Beholders,Pitcher Matthew Longballo,,,,,,:BBG: Baldur's Gate Beholders sign Pitcher **Matthew Longballo**,
2022-01-18,8,,sign,Sunnydale Slayers,Pitcher Y. Y. Lord,,,,,,:slayers: Sunnydale Slayers sign Pitcher **Y. Y. Lord**,
2022-01-18,8,,sign,Portland Pioneers,Pitcher Jay Emess,,,,,,:Pioneers: Portland Pioneers sign Pitcher **Jay Emess**,
2022-01-18,8,,sign,Sunnydale Slayers,First Baseman Lincoln Crawford,,,,,,:slayers: Sunnydale Slayers sign First Baseman **Lincoln Crawford**,
2022-01-18,8,,sign,Sopher McDophers,Catcher Isaac Saffron,,,,,,:McDophers: Sopher McDophers sign Catcher **Isaac Saffron**,
2022-01-18,8,,sign,Sunnydale Slayers,Left Fielder Thomas Nova,,,,,,:slayers: Sunnydale Slayers sign Left Fielder **Thomas Nova**,
2022-01-18,8,,sign,Sunnydale Slayers,Pitcher Geno Scaramucci,,,,,,:slayers: Sunnydale Slayers sign Pitcher **Geno Scaramucci**,
2022-01-18,8,,sign,New Orleans Crawdads,Third Baseman Hot Dog Jeopardy,,,,,,:crawdads: New Orleans Crawdads sign Third Baseman **Hot Dog Jeopardy**,
2022-01-18,8,,sign,Ursa Major Grizzlies,Shortstop JZ,but not the rapper,,,,,:grizzlies: Ursa Major Grizzlies sign Shortstop **JZ (but not the rapper)**,
2022-01-18,8,,re_sign,Sopher McDophers,Catcher Cass Doubt,,,,,,:McDophers: Sopher McDophers re-sign Catcher **Cass Doubt**,
2022-01-18,8,,sign,Buffalo Bullfrogs,Catcher Guidoooo,,,,,,":buf: Buffalo Bullfrogs sign Catcher **Guidoooo**
(extra o's pending)",
2022-01-18,8,,sign,Buffalo Bullfrogs,Pitcher Nate Duke,,,,,,:buf: Buffalo Bullfrogs sign Pitcher **Nate Duke**,
2022-01-18,8,,sign,Reykjavik Valkyries,Right Fielder Barney Turbo,,,,,,:valkyries: Reykjavik Valkyries sign Right Fielder **Barney Turbo**,
2022-01-18,8,,sign,Portland Pioneers,Catcher Pedro Cerrano-Spaz,,,,,,:Pioneers: Portland Pioneers sign Catcher **Pedro Cerrano-Spaz**,
2022-01-19,8,,sign,Buffalo Bullfrogs,Second Baseman Jackie Daytona,,,,,,:buf: Buffalo Bullfrogs sign Second Baseman **Jackie Daytona**,
2022-01-19,8,,sign,Aruba Sea Serpents,Pitcher Dirk Digglet,,,,,,:ass: Aruba Sea Serpents sign Pitcher **Dirk Digglet**,
2022-01-19,8,,sign,Aruba Sea Serpents,Pitcher Calvin Guerensk,,,,,,:Serpents: Aruba Sea Serpents sign Pitcher **Calvin Guerensk**,
2022-01-20,8,,sign,Blubs Bay Flappy Bois,Pitcher Sticky Micky Mantle,,,,,,:FlappyBois: Blubs Bay Flappy Bois sign Pitcher **Sticky Micky Mantle**,
2022-01-20,8,,sign,Aruba Sea Serpents,Second Baseman Dixon Uraz,,,,,,:Serpents: Aruba Sea Serpents sign Second Baseman **Dixon Uraz**,
2022-01-21,8,,sign,Kentucky Mashers,Center Fielder Scherbie Fully-Loaded,,,,,,:Mashers: Kentucky Mashers sign Center Fielder **Scherbie Fully-Loaded**,
2022-01-22,8,,sign,Malibu Waverunners,Third Baseman Connor Morgan,,,,,,:Waverunners: Malibu Waverunners sign Third Baseman **Connor Morgan**,
2022-01-22,8,,sign,Malibu Waverunners,Catcher Big Smoke Anderson,,,,,,:Waverunners: Malibu Waverunners sign Catcher **Big Smoke Anderson**,
2022-01-22,8,,sign,Portland Pioneers,Catcher Derek Rasmussen,,,,,,:Pioneers: Portland Pioneers sign Catcher **Derek Rasmussen**,
2022-01-22,8,,sign,Halifax Highlanders,Pitcher Rusty LaRue,,,,,,:halifax: Halifax Highlanders sign Pitcher **Rusty LaRue**,
2022-01-22,8,,sign,Aruba Sea Serpents,Center Fielder Mo Mo,,,,,,:Serpents: Aruba Sea Serpents sign Center Fielder **Mo Mo**,
2022-01-22,8,,sign,Blubs Bay Flappy Bois,Center Fielder Harry Peritestes,,,,,,:FlappyBois: Blubs Bay Flappy Bois sign Center Fielder **Harry Peritestes**,
2022-01-22,7,,draft,slayers Sunnydale Slayers,Sonar McDeuceski,3B,,,,Pick 1 | MLN S7,"With the 1st overall pick in the S7 Draft, the :slayers: Sunnydale Slayers select **3B Sonar McDeuceski**",
2022-01-22,7,,draft,buf Buffalo Bullfrogs,Simba Martinez,C,,,,Pick 2 | MLN S7,"With the 2nd overall pick in the S7 Draft, the :buf: Buffalo Bullfrogs select **C Simba Martinez**",
2022-01-22,7,,draft,BBG Baldur's Gate Beholders,Pel OQuinn,RF,,,,Pick 3 | MLN S7,"With the 3rd overall pick in the S7 Draft, the :BBG: Baldur's Gate Beholders select **RF Pel OQuinn**",
2022-01-22,7,,draft,Serpents Aruba Sea Serpents,Ovaltine,RF,,,,Pick 4 | MLN S7,"With the 4th overall pick in the S7 Draft, the :Serpents: Aruba Sea Serpents select **RF Ovaltine**",
2022-01-22,7,,draft,Pioneers Portland Pioneers,Dinah Myte,SS,,,,Pick 5 | MLN S7,"With the 5th overall pick in the S7 Draft, the :Pioneers: Portland Pioneers select **SS Dinah Myte**",
2022-01-22,7,,draft,Gorillas Gas House Gorillas,Hugo Award,3B,,,,Pick 6 | MLN S7,"With the 6th overall pick in the S7 Draft, the :Gorillas: Gas House Gorillas select **3B Hugo Award**",
2022-01-22,7,,draft,Pioneers Portland Pioneers,Mumpy Stallone,RF,,,,Pick 7 | MLN S7,"With the 7th overall pick in the S7 Draft, the :Pioneers: Portland Pioneers select **RF Mumpy Stallone**",
2022-01-22,7,,draft,crawdads New Orleans Crawdads,Streetlamp LeMoose,LF,,,,Pick 8 | MLN S7,"With the 8th overall pick in the S7 Draft, the :crawdads: New Orleans Crawdads select **LF Streetlamp LeMoose**",
2022-01-22,8,,draft_pick_trade,,,,,,,Trade detected but sides not parsed | MLN draft,-- :Peregrines:  Acadia Peregrines trade 9th overall to :grizzlies: Ursa Major for 14th and 15th overall--,Y
2022-01-22,7,,draft,grizzlies Ursa Major Grizzlies,Meat Wad,CF,,,,Pick 9 | MLN S7,"With the 9th overall pick in the S7 Draft, the :grizzlies: Ursa Major Grizzlies select **CF Meat Wad**",
2022-01-22,7,,draft,buf Buffalo Bullfrogs,Dutch Boggs,2B,,,,Pick 10 | MLN S7,"With the 10th overall pick in the S7 Draft, the :buf: Buffalo Bullfrogs select **2B Dutch Boggs**",
2022-01-22,7,,draft,Mashers Kentucky Mashers,Doc Dockerson,P,,,,Pick 11 | MLN S7,"With the 11th overall pick in the S7 Draft, the :Mashers: Kentucky Mashers select **P Doc Dockerson**",
2022-01-22,7,,draft,Peregrines Acadia Peregrines,Alexandra Shepard,3B,,,,Pick 12 | MLN S7,"With the 12th overall pick in the S7 Draft, the :Peregrines: Acadia Peregrines select **3B Alexandra Shepard**",
2022-01-22,7,,draft,Peregrines Acadia Peregrines,Y.E. Wally,P,,,,Pick 13 | MLN S7,"With the 13th overall pick in the S7 Draft, the :Peregrines: Acadia Peregrines select **P Y.E. Wally**",
2022-01-22,7,,draft,Serpents Aruba Sea Serpents,Jimmy Nootron,SS,,,,Pick 14 | MLN S7,"With the 14th overall pick in the S7 Draft, the :Serpents: Aruba Sea Serpents select **SS Jimmy Nootron**",
2022-01-22,7,,draft,grizzlies Ursa Major Grizzlies,Mickey May,1B,,,,Pick 15 | MLN S7,"With the 15th overall pick in the S7 Draft, the :grizzlies: Ursa Major Grizzlies select **1B Mickey May**",
2022-01-22,7,,draft,Waverunners Malibu Waverunners,Pie In The Sky,1B,,,,Pick 16 | MLN S7,"With the 16th overall pick in the S7 Draft, the :Waverunners: Malibu Waverunners select **1B Pie In The Sky**",
2022-01-22,7,,draft,BBG Baldurs Gate Beholders,Juan Sexton,2B,,,,Pick 17 | MLN S7,"With the 17th overall pick in the S7 Draft, the :BBG: Baldurs Gate Beholders select **2B Juan Sexton**",
2022-01-22,7,,draft,Pioneers Portland Pioneers,Kenny Powers,3B,,,,Pick 18 | MLN S7,"With the 18th overall pick in the S7 Draft, the :Pioneers: Portland Pioneers select **3B Kenny Powers**",
2022-01-22,7,,draft,crawdads New Orleans Crawdads,Rocco Rudnikov,LF,,,,Pick 19 | MLN S7,"With the 19th overall pick in the S7 Draft, the :crawdads: New Orleans Crawdads select **LF Rocco Rudnikov**",
2022-01-22,7,,draft,halifax Halifax Highlanders,Ifeanyichukwu Olukayode,,,,,Pick 20 | MLN S7,"With the 20th overall pick in the S7 Draft, the :halifax: Halifax Highlanders select **Ifeanyichukwu Olukayode**",
2022-01-22,7,,draft,Pioneers Portland Pioneers,Pete Sweat,P,,,,Pick 21 | MLN S7,"With the 21st overall pick in the S7 Draft, the :Pioneers: Portland Pioneers select **P Pete Sweat**",
2022-01-22,7,,draft,grizzlies Ursa Major Grizzlies,Micah Burgundy,SS,,,,Pick 22 | MLN S7,"With the 22nd overall pick in the S7 Draft, the :grizzlies: Ursa Major Grizzlies select **SS Micah Burgundy**",
2022-01-22,7,,draft,crawdads New Orleans Crawdads,Jethro McDungle,C,,,,Pick 23 | MLN S7,"With the 23rd overall pick in the S7 Draft, the :crawdads: New Orleans Crawdads select **C Jethro McDungle**",
2022-01-22,7,,draft,Mashers Kentucky Mashers,Emerson Austin Jr,3B,,,,Pick 24 | MLN S7,"With the 24th overall pick in the S7 Draft, the :Mashers: Kentucky Mashers select **3B Emerson Austin Jr.**",
2022-01-22,7,,draft,crawdads New Orleans Crawdads,Bobbymir Guerrero Jr,P,,,,Pick 25 | MLN S7,"With the 25th overall pick in the S7 Draft, the :crawdads: New Orleans Crawdads select **P Bobbymir Guerrero Jr.**",
2022-01-23,8,,sign,Malibu Waverunners,Second Baseman Dottie Hooligan,,,,,,:Waverunners: Malibu Waverunners sign Second Baseman **Dottie Hooligan**,
2022-01-23,8,,sign,Halifax Highlanders,Second Baseman Bill Stokes,,,,,,:halifax: Halifax Highlanders sign Second Baseman **Bill Stokes**,
2022-01-23,8,,sign,Aruba Sea Serpents,Catcher Basethony Balltano,,,,,,:Serpents: Aruba Sea Serpents sign Catcher **Basethony Balltano**,
2022-01-23,8,,sign,Malibu Waverunners,Catcher Ohtani But Wide,,,,,,:Waverunners: Malibu Waverunners sign Catcher **Ohtani But Wide**,
2022-01-23,8,,sign,Kentucky Mashers,First Baseman Peter Hoomanawanui,,,,,,:Mashers: Kentucky Mashers sign First Baseman **Peter Hoomanawanui**,
2022-01-23,8,,sign,Kentucky Mashers,Right Fielder Dallas Houston,,,,,,:Mashers: Kentucky Mashers sign Right Fielder **Dallas Houston**,
2022-01-23,8,,sign,Aruba Sea Serpents,Second Baseman Mattress,,,,,,:Serpents: Aruba Sea Serpents sign Second Baseman **Mattress**,
2022-01-24,8,,sign,Gas House Gorillas,Second Baseman Mike Fruitstand,,,,,,:Gorillas: Gas House Gorillas sign Second Baseman **Mike Fruitstand**,
2022-01-24,8,,re_sign,Ursa Major Grizzlies,Center Fielder Adonis Sinoda,,,,,,:grizzlies: Ursa Major Grizzlies re-sign Center Fielder **Adonis Sinoda**,
2022-02-19,8,3,hiatus,Buffalo Bullfrogs,Pitcher Petra Sabor,,,,,,"**Transactions effective Session 3**

:bullfrogs:Buffalo Bullfrogs place Pitcher **Petra Sabor** on hiatus 

:Pioneers: Portland Pioneers release Pitcher **Angel Leon**
:Pioneers: Portland Pioneers sign Pitcher **Kevin James**

:ASS: Aruba Sea Serpents release Third Baseman **Arm N. Hammer** 
:ASS: Aruba Sea Serpents activate Pitcher **Dirk Digglet** from hiatus",
2022-02-19,8,3,release,Portland Pioneers,Pitcher Angel Leon,,,,,,"**Transactions effective Session 3**

:bullfrogs:Buffalo Bullfrogs place Pitcher **Petra Sabor** on hiatus 

:Pioneers: Portland Pioneers release Pitcher **Angel Leon**
:Pioneers: Portland Pioneers sign Pitcher **Kevin James**

:ASS: Aruba Sea Serpents release Third Baseman **Arm N. Hammer** 
:ASS: Aruba Sea Serpents activate Pitcher **Dirk Digglet** from hiatus",
2022-02-19,8,3,sign,Portland Pioneers,Pitcher Kevin James,,,,,,"**Transactions effective Session 3**

:bullfrogs:Buffalo Bullfrogs place Pitcher **Petra Sabor** on hiatus 

:Pioneers: Portland Pioneers release Pitcher **Angel Leon**
:Pioneers: Portland Pioneers sign Pitcher **Kevin James**

:ASS: Aruba Sea Serpents release Third Baseman **Arm N. Hammer** 
:ASS: Aruba Sea Serpents activate Pitcher **Dirk Digglet** from hiatus",
2022-02-19,8,3,release,Aruba Sea Serpents,Third Baseman Arm N. Hammer,,,,,,"**Transactions effective Session 3**

:bullfrogs:Buffalo Bullfrogs place Pitcher **Petra Sabor** on hiatus 

:Pioneers: Portland Pioneers release Pitcher **Angel Leon**
:Pioneers: Portland Pioneers sign Pitcher **Kevin James**

:ASS: Aruba Sea Serpents release Third Baseman **Arm N. Hammer** 
:ASS: Aruba Sea Serpents activate Pitcher **Dirk Digglet** from hiatus",
2022-02-19,8,3,hiatus_return,Aruba Sea Serpents,Pitcher Dirk Digglet,,,,,,"**Transactions effective Session 3**

:bullfrogs:Buffalo Bullfrogs place Pitcher **Petra Sabor** on hiatus 

:Pioneers: Portland Pioneers release Pitcher **Angel Leon**
:Pioneers: Portland Pioneers sign Pitcher **Kevin James**

:ASS: Aruba Sea Serpents release Third Baseman **Arm N. Hammer** 
:ASS: Aruba Sea Serpents activate Pitcher **Dirk Digglet** from hiatus",
2022-02-19,8,,gm_change,Peregrines,Acadia Peregrines,,,,,Acadia Peregrines promote Third Baseman Dougal Mcgoogol to co-GM,:Peregrines: Acadia Peregrines promote Third Baseman **Dougal Mcgoogol** to co-GM,
2022-03-03,8,4,trade,,,,,,,Trade detected but sides not parsed,"**Transactions effective Session 4**

:bullfrogs: Buffalo Bullfrogs active Pitcher **Petra Sabor** from hiatus

:crawdads: New Orleans Crawdads trade Pitcher **Sheridan Blackston**
:BBG: trade Pitcher **Matthew Longballo**

:rek: Reykjavik Valkyries trade Pitcher **Threefinger Janssen III** and their first round selection in the S8 draft
:buf: Buffalo Bullfrogs trade SS/UTIL **Sandy Collazo**

:valkyries: Sandy Collazo changes position to P

:buf: Dutch Boggs changes position to SS/UTIL",Y
2022-03-03,8,,release,Portland Pioneers,3B/UTIL John Rhys Ealy,,,,,,:Pioneers: Portland Pioneers release 3B/UTIL **John Rhys Ealy**,
2022-03-03,8,,sign,Halifax Highlanders,CF Kilometers Straw,,,,,,":highlanders: Halifax Highlanders sign CF **Kilometers Straw**
:highlanders: Halifax Highlanders GM **Johnny Dickshot** returns to being a non-playing GM",
2022-03-03,8,,sign,Portland Pioneers,2B/UTIL Marten Duckswerth,,,,,,:Pioneers: Portland Pioneers sign 2B/UTIL **Marten Duckswerth**,
2022-03-04,8,,sign,Malibu Waverunners,LF Malcolm Fish,,,,,,:Waverunners: Malibu Waverunners sign LF ** Malcolm Fish**,
2022-03-15,8,5,position_switch,buf,Petra Sabor,SS/UTIL,,,,,"**Transactions effective Session 5**

:buf: Petra Sabor changes position to SS/UTIL

:highlanders: Halifax Highlanders release 2B/UTIL **Johnny Omar**
:highlanders:  Halifax Highlanders release SS/UTIL **Annie Campbell**
:highlanders: Halifax Highlanders sign P **Jimmy Kalkowski**
:highlanders: Frozen Inertia changes position to SS/UTIL

:slayers: Sunnydale Slayers place RF **Riles McGiles** on hiatus",
2022-03-15,8,5,release,Halifax Highlanders,2B/UTIL Johnny Omar,,,,,,"**Transactions effective Session 5**

:buf: Petra Sabor changes position to SS/UTIL

:highlanders: Halifax Highlanders release 2B/UTIL **Johnny Omar**
:highlanders:  Halifax Highlanders release SS/UTIL **Annie Campbell**
:highlanders: Halifax Highlanders sign P **Jimmy Kalkowski**
:highlanders: Frozen Inertia changes position to SS/UTIL

:slayers: Sunnydale Slayers place RF **Riles McGiles** on hiatus",
2022-03-15,8,5,release,Halifax Highlanders,SS/UTIL Annie Campbell,,,,,,"**Transactions effective Session 5**

:buf: Petra Sabor changes position to SS/UTIL

:highlanders: Halifax Highlanders release 2B/UTIL **Johnny Omar**
:highlanders:  Halifax Highlanders release SS/UTIL **Annie Campbell**
:highlanders: Halifax Highlanders sign P **Jimmy Kalkowski**
:highlanders: Frozen Inertia changes position to SS/UTIL

:slayers: Sunnydale Slayers place RF **Riles McGiles** on hiatus",
2022-03-15,8,5,sign,Halifax Highlanders,P Jimmy Kalkowski,,,,,,"**Transactions effective Session 5**

:buf: Petra Sabor changes position to SS/UTIL

:highlanders: Halifax Highlanders release 2B/UTIL **Johnny Omar**
:highlanders:  Halifax Highlanders release SS/UTIL **Annie Campbell**
:highlanders: Halifax Highlanders sign P **Jimmy Kalkowski**
:highlanders: Frozen Inertia changes position to SS/UTIL

:slayers: Sunnydale Slayers place RF **Riles McGiles** on hiatus",
2022-03-15,8,5,position_switch,highlanders,Frozen Inertia,SS/UTIL,,,,,"**Transactions effective Session 5**

:buf: Petra Sabor changes position to SS/UTIL

:highlanders: Halifax Highlanders release 2B/UTIL **Johnny Omar**
:highlanders:  Halifax Highlanders release SS/UTIL **Annie Campbell**
:highlanders: Halifax Highlanders sign P **Jimmy Kalkowski**
:highlanders: Frozen Inertia changes position to SS/UTIL

:slayers: Sunnydale Slayers place RF **Riles McGiles** on hiatus",
2022-03-15,8,5,hiatus,Sunnydale Slayers,RF Riles McGiles,,,,,,"**Transactions effective Session 5**

:buf: Petra Sabor changes position to SS/UTIL

:highlanders: Halifax Highlanders release 2B/UTIL **Johnny Omar**
:highlanders:  Halifax Highlanders release SS/UTIL **Annie Campbell**
:highlanders: Halifax Highlanders sign P **Jimmy Kalkowski**
:highlanders: Frozen Inertia changes position to SS/UTIL

:slayers: Sunnydale Slayers place RF **Riles McGiles** on hiatus",
2022-03-16,8,,sign,Sunnydale Slayers,3B/UTIL G Baby,,,,,,:slayers: Sunnydale Slayers sign 3B/UTIL **G Baby**,
2022-03-27,8,,hiatus,Reykjavik Valkyries,RF Barney Turbo,,,,,,"**Transactions effective Sessions 6**

:Valkyries: Reykjavik Valkyries place RF **Barney Turbo** on hiatus

:Highlanders: Halifax Highlanders release LF **Ifeanyichukwu Olukayod**
:Highlanders: Halifax Highlanders sign LF **CJ Ayer**

:Mashers: Kentucky Mashers release P **Steven Silston**
:Mashers: Kentucky Mashers sign P **Pablo Pabloson**",
2022-03-27,8,,release,Halifax Highlanders,LF Ifeanyichukwu Olukayod,,,,,,"**Transactions effective Sessions 6**

:Valkyries: Reykjavik Valkyries place RF **Barney Turbo** on hiatus

:Highlanders: Halifax Highlanders release LF **Ifeanyichukwu Olukayod**
:Highlanders: Halifax Highlanders sign LF **CJ Ayer**

:Mashers: Kentucky Mashers release P **Steven Silston**
:Mashers: Kentucky Mashers sign P **Pablo Pabloson**",
2022-03-27,8,,sign,Halifax Highlanders,LF CJ Ayer,,,,,,"**Transactions effective Sessions 6**

:Valkyries: Reykjavik Valkyries place RF **Barney Turbo** on hiatus

:Highlanders: Halifax Highlanders release LF **Ifeanyichukwu Olukayod**
:Highlanders: Halifax Highlanders sign LF **CJ Ayer**

:Mashers: Kentucky Mashers release P **Steven Silston**
:Mashers: Kentucky Mashers sign P **Pablo Pabloson**",
2022-03-27,8,,release,Kentucky Mashers,P Steven Silston,,,,,,"**Transactions effective Sessions 6**

:Valkyries: Reykjavik Valkyries place RF **Barney Turbo** on hiatus

:Highlanders: Halifax Highlanders release LF **Ifeanyichukwu Olukayod**
:Highlanders: Halifax Highlanders sign LF **CJ Ayer**

:Mashers: Kentucky Mashers release P **Steven Silston**
:Mashers: Kentucky Mashers sign P **Pablo Pabloson**",
2022-03-27,8,,sign,Kentucky Mashers,P Pablo Pabloson,,,,,,"**Transactions effective Sessions 6**

:Valkyries: Reykjavik Valkyries place RF **Barney Turbo** on hiatus

:Highlanders: Halifax Highlanders release LF **Ifeanyichukwu Olukayod**
:Highlanders: Halifax Highlanders sign LF **CJ Ayer**

:Mashers: Kentucky Mashers release P **Steven Silston**
:Mashers: Kentucky Mashers sign P **Pablo Pabloson**",
